12003.123 0			            0.000203915 	0.0010982029	    0		      -0.0012818936  -0.0017155993     0.0001748388	  0.0025237214  0.0010982029
12005.141 0			            0.00014951108	0.0010124522	    0		      -0.0011119565  -0.0018339451     0.0001748388	  0.0025237214  0.0010124522
12007.159 0			            0.00010392103	0.00092670148	    4.0903951e-09     -0.00098244093 -0.0018802565     0.0001748388	  0.0025237214  0.00092670148
12009.177 0			            6.6316854e-05	0.00084095074	    2.1571467e-05     -0.00094077941 -0.0018856517     0.0001748388	  0.0025237214  0.00084095074
12011.195 0			            3.040229e-05	0.00075520001	    0.00013558122     -0.0010867333  -0.0018699618     0.0001748388	  0.0025237214  0.00075520001
12013.213 0			            -9.5726354e-06	0.00066944912	    0.0004191237      -0.0015271911  -0.0018309328     0.0001748388	  0.0025237214  0.00066944912
12015.231 4.0045537e-06 	            -6.8111491e-05	0.00058504443	    0.00090956887     -0.0023204589  -0.0017396755     0.0001748388	  0.0025237214  0.00058504443
12017.249 2.1179936e-05 	            -0.00017642703	0.00050506898	    0.0016294423      -0.0035124681  -0.0015373817     0.0001748388	  0.0025350142  0.00050506898
12019.267 5.6687075e-05 	            -0.00035312133	0.00043125937	    0.0025734518      -0.0051118329  -0.0011845647     0.0001748388	  0.0025739397  0.00043125937
12021.285 0.00011230986 	            -0.00061343862	0.00037499302	    0.0036740676      -0.0071317883  -0.00068226769    0.0001748388	  0.0026455447  0.00037499302
12023.303 0.00019045125 	            -0.00097523199	0.00035159508	    0.00485422        -0.0096553828  -4.1096769e-05    0.0001748388	  0.0027498294  0.00035159508
12025.321 0.00029173124 	            -0.0014448487	0.00036501902	    0.0060784378      -0.012687639   0.00071006446     0.0001748388	  0.0028867936  0.00036501902
12027.339 0.00041615197 	            -0.002067718	0.00041526742	    0.0073314474      -0.016130667   0.0015124067      0.0004024373	  0.0030564375  0.00041526742
12029.357 0.00056371545 	            -0.0028862902	0.00050234274	    0.0085842638      -0.019890947   0.0023205078      0.0006300357	  0.0032587609  0.00050234274
12031.375 0.00073477272 	            -0.0038942694	0.00062624502	    0.0097885233      -0.023766537   0.0031158976      0.0008576342	  0.0034937639  0.00062624502
12033.393 0.00093032082 	            -0.0050861904	0.00078697423	    0.010923526       -0.027477074   0.0038879474      0.0010852327	  0.0037614466  0.00078697423
12035.411 0.0011470013		            -0.0064488691	0.00098318327	    0.011995705       -0.030891675   0.0046077949      0.0013128312	  0.0040618089  0.00098318327
12037.429 0.0013798064		            -0.0079547286	0.0012117886	    0.013061253       -0.033989631   0.0053873311      0.0015404296	  0.0043835581  0.0012117886
